Date,MSFT,AMZN,JNJ,JPM,XOM,BAC,WMT,WFC,V,PG,BUD,T,CVX,UNH,PFE,RHHBY,CHL,HD,TSM,VZ,ORCL,C,NVDA,NVS,AAPL,INTC,NFLX,SONC,MO,GOOGL
10/28/10,0.008829531,-0.003999755,-0.000157544,-0.000799198,0.008375096,-0.000866252,0.003898259,0.00737852,-0.043418048,0.001743625,0.017471955,0.005291375,0.001541585,0.008906273,0.016782346,0.00789994,-0.00682803,0.009384962,0.010328692,-0.00307608,0.022996467,0,0.000830753,0.007120538,-0.008413894,0.013868343,-0.015686275,-0.007726412,0.009159918,0.003422726
10/29/10,0.01483997,-0.009649964,0.002832365,0.003199381,0.004077331,-0.006938737,0.001664266,0.004626,0.022367464,0.006013477,0.009469,0.000701814,-0.021790223,-0.005517255,-0.008536997,-0.006756843,0.009035685,-0.009297704,0.013940317,0.002160035,0.000681006,0,-0.002489743,-0.000689751,-0.013956207,-0.020517678,-0.012122988,-0.011123264,0.00315683,-0.007889038
11/1/10,0.010498679,-0.016038214,-0.000784854,-0.005580741,0.006918108,0.004366718,0.002584613,-0.004988352,-0.010747758,0.000786751,-0.000636041,0.007012305,-0.013922587,0.00166416,0.011481009,-0.002721041,-0.000778613,-0.006149094,-0.001833114,-0.002463048,-0.008509225,-0.004796354,0.001663821,-0.007420176,0.010631776,0.025934873,-0.035720409,0.008998779,-0.001966839,0.002118245
11/2/10,0.016326799,0.012486154,0.002983509,-0.012293057,0.013293638,-0.008695558,0.008838059,0.001542403,0.014226777,0.006287151,0.010340515,0.007660286,0.008594086,0.024646665,-0.009648061,0.02182797,-0.000779299,0.026050332,-0.004591381,0.012345735,0.013731682,0.004819469,0.020764254,0.013212652,0.017029581,-0.011181011,0.025333124,0.010033475,0.007883546,0.000975586
11/3/10,-0.013143675,0.023449365,0.004852677,0.020562581,0.001916461,0.010526277,0.002190169,0.020833277,0.007396317,0.004530229,-0.02975907,0.004146492,0.006695039,-0.009189287,0.008022913,0.001869183,0.002144598,-0.001586919,0.008302583,0.005792479,-0.011174942,0.004795975,0.007322929,0.005833973,0.011119546,0.014740379,-0.000874092,0.006622417,0.007430288,0.007439915
11/4/10,0.004069402,0.002730409,0.00888001,0.055143319,0.020744334,0.052951461,0.00819537,0.037793023,0.012531601,0.010728869,0.016228522,0.013076504,0.029504122,0.003819207,-0.001723277,0.010128063,0.031517721,0.015257432,0.030192291,0.016065621,0.009246263,0.033413165,0.001615526,0.007335367,0.017487392,0.023925777,-0.021229482,0.026316109,0.015139903,0.006594895
11/5/10,-0.010685331,0.010892151,-0.001698526,0.02864328,0.008936129,0.018961286,-0.002890224,0.064093158,-0.00237511,0,-0.016927711,-0.005774453,-0.001879053,0.001630461,-0.011507397,-0.015831177,0.000377076,-0.000626275,-0.007105,-0.002685054,-0.007464943,0.036951384,0.016935578,-0.007112638,-0.003581983,0.012875572,0.001668496,0.006410042,-0.001529468,0.001297482
11/8/10,-0.001489586,0.007144118,-0.004949871,-0.010503463,0.004571348,0.01941749,-0.005253712,-0.006160063,-0.013659053,-0.003846119,-0.012507963,-0.003074794,-0.002118493,0.007053665,-0.007567066,-0.009919536,0.001696803,-0.013470985,-0.016100296,-0.007777447,-0.00717972,-0.011135678,0.003964978,-0.01108653,0.004698372,-0.000470946,0.006127269,-0.012738776,-0.009192256,0.002703686
11/9/10,0.005221835,-0.010000587,-0.000310987,-0.015057823,0.010732842,-0.026190506,0.002549714,-0.031336251,-0.004955088,0.00092678,-0.005592976,0,-0.014622466,-0.003771755,-0.003519091,-0.010560573,-0.012422312,-0.000635263,0.012727288,-0.004823798,-0.010330584,-0.031531877,-0.005529115,-0.018282141,-0.007971946,-0.003297143,0.007863815,0.001075272,-0.011209715,-0.003111211
11/10/10,-0.000370877,0.017971445,-0.00559797,0.018044979,0.007079224,0.024449874,-0.009809402,0.015997334,0.012385281,-0.00370325,0.001654191,-0.004455143,0.019267775,0.004867667,-0.009417332,0.009304825,0.004764575,0.006672774,0.00987438,-0.00484674,-0.00173955,0.027907356,0.011913829,-0.002108151,0.006169294,-0.005671073,0.037604118,0.002148001,-0.014464633,-0.003104914
11/11/10,-0.009651198,-0.017077292,-0.000468982,-0.014771129,0.00984123,-0.015911069,-0.003118526,-0.01364607,-0.000883051,-0.003252122,-0.024277336,-0.007573055,0.010801869,0.008342356,0.008912692,-0.010303656,-0.01479515,0.000631833,-0.01688857,-0.006697289,-0.004182651,-0.013575031,-0.010203685,-0.006338098,-0.004339074,0.008079979,-0.009781201,-0.007502703,0.000793393,-0.009134961
